address,latitude,longitude,visit_count,type
Mackay / Ste-Catherine,45.495709,-73.576952,2579,average
de Lanaudière / Laurier,45.533314,-73.583737,2546,average
Messier / du Mont-Royal,45.537114,-73.571003,2857,average
de l'Hôtel-de-Ville / Ste-Catherine,45.51166,-73.562136,1692,average
Place du Canada (Peel / des Canadiens-de-Montréal),45.4978835,-73.5685676,2107,average
Gary-Carter / St-Laurent,45.5359,-73.622443,2478,average
Fortune / Wellington,45.477923,-73.559038,1080,average
10e avenue / Masson,45.550306,-73.573353,2901,average
Montcalm / Ontario,45.521081,-73.562275,2242,average
Maguire / St-Laurent,45.524628,-73.595811,2194,average
Ste-Catherine / Towers,45.4922807,-73.5809648,2958,average
Lincoln / du Fort,45.493034,-73.583836,1034,average
Hutchison / Van Horne,45.524942,-73.610606,1125,average
Letourneux / Ste-Catherine,45.5507836,-73.5341,1082,average
Aylmer / Sherbrooke,45.506587,-73.573299,2085,average
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),45.5082046,-73.5688144,2736,average
de Gaspé / Beaubien,45.5319579,-73.607001,2101,average
Métro Snowdon (de Westbury / Queen-Mary),45.485385,-73.628142,1115,average
Jeanne-Mance / René-Lévesque,45.506371,-73.564201,1949,average
Molson / Beaubien,45.549686,-73.591155,1327,average
Marché Jean-Talon (Henri-Julien / Jean-Talon),45.536785,-73.614888,2101,average
St-Mathieu / Sherbrooke,45.495789,-73.582596,2107,average
McGill / Wellington,45.4994477,-73.5548991,1059,average
St-Cyril / Wiseman,45.5208548,-73.6157396,1285,average
Boyer / Everett,45.5432845,-73.6162861,1261,average
Métro Crémazie (Crémazie / Lajeunesse),45.546408,-73.638428,1344,average
Victoria / de Maisonneuve,45.477429,-73.600169,1361,average
St-André / Rachel,45.5243532,-73.5759665,1597,average
Drolet / Beaubien,45.533348,-73.605834,1837,average
Mozart / St-Laurent,45.53318,-73.61544,1134,average
de Kent / de la Côte-des-Neiges,45.501449,-73.633051,1635,average
Valois / Ste-Catherine,45.54523,-73.53725,1250,average
St-Dominique / du Mont-Royal,45.5205595,-73.5858203,2536,average
Henri-Julien / Laurier,45.525843,-73.590399,2112,average
St-Antoine / de la Montagne,45.4953717,-73.5685891,1534,average
de Maisonneuve / Greene,45.486971,-73.589293,1548,average
Marie-Anne / St-Hubert,45.524683,-73.578897,1933,average
Ste-Catherine / St-Laurent,45.5098134,-73.5638952,1655,average
St-Dominique / Bernard,45.527933,-73.601223,1245,average
Maguire / Henri-Julien,45.527041,-73.593471,1243,average
Pontiac / Gilford,45.527009,-73.585766,2430,average
Square Viger (Berri / Viger),45.5122121,-73.5546289,2333,average
Crescent / de Maisonneuve,45.498112,-73.577615,2586,average
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),45.5148749,-73.5848641,1537,average
de Bleury / de Maisonneuve,45.5070965,-73.5684416,2375,average
de Monkland / Girouard,45.477107,-73.621438,1064,average
Poupart / Ontario,45.531939,-73.553439,1061,average
Ste-Catherine / Dezery,45.539385,-73.541,1485,average
Villeneuve / St-Laurent,45.521342,-73.589419,2475,average
Faillon / St-Denis,45.5398641,-73.6203128,1286,average
Prince-Arthur / St-Urbain,45.512587,-73.573739,2422,average
Métro Rosemont (de St-Vallier / Rosemont),45.531783,-73.597793,2273,average
Melville / de Maisonneuve,45.4818402,-73.595379,1506,average
St-Dominique / de Bellechasse,45.5295036,-73.6048646,2332,average
Boyer / Jean-Talon,45.541586,-73.612481,1007,average
de Bullion / du Mont-Royal,45.521751,-73.585268,2197,average
Hutchison / Prince-Arthur,45.509759,-73.576107,2451,average
Laval / Duluth,45.519216,-73.57718,2851,average
St-Zotique / Clark,45.531401,-73.612674,1148,average
de Bellechasse / de Lanaudière,45.5393536,-73.5953736,1573,average
Métro St-Michel (Shaughnessy / St-Michel),45.559199,-73.599658,1079,average
St-André / Ontario,45.51889,-73.56353,1591,average
Laval / du Mont-Royal,45.522365,-73.584146,2772,average
St-Urbain / René-Lévesque,45.507838,-73.563136,1589,average
